Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Vps37b	0.000594927	0.087209979	0.175	0.14	1
Map3k2	0.000607293	0.07723499	0.196	0.147	1
Lamtor1	0.000620507	0.043923762	0.301	0.275	1
Emc2	0.000621768	0.060037091	0.227	0.187	1
Dync1h1	0.000622236	0.039310336	0.406	0.379	1
Babam1	0.000624248	0.060975784	0.222	0.183	1
Usp19	0.000643581	0.043502011	0.304	0.278	1
Nol7	0.000648746	0.036011346	0.63	0.611	1
Mlec	0.000654686	0.047991914	0.274	0.246	1
Ubqln4	0.000662909	-0.092821187	0.139	0.2	1
Cbx3	0.000665128	-0.053335818	0.36	0.392	1
Shmt1	0.000681086	-0.175515418	0.035	0.144	1
Slirp	0.000691684	0.048309602	0.266	0.233	1
Swi5	0.000695176	0.037430525	0.481	0.458	1
Elof1	0.000707856	0.05077585	0.253	0.216	1
Hdac2	0.000712983	-0.068450825	0.206	0.254	1
Trappc4	0.000713769	0.038459162	0.384	0.364	1
Bid	0.000717563	-0.083115391	0.159	0.217	1
Dda1	0.00072098	0.052819862	0.244	0.21	1
Noa1	0.000723471	-0.123268203	0.087	0.171	1
Cul1	0.000743808	0.038865894	0.394	0.374	1
Gpx1	0.000744883	-0.063334632	0.257	0.285	1
Pxn	0.000745957	0.061220061	0.222	0.183	1
Mrpl18	0.000753792	0.045121075	0.281	0.25	1
Mcm4	0.000761831	0.098609102	0.167	0.106	1
Hcfc1	0.000763493	0.043788137	0.303	0.273	1
Msl1	0.0007665	0.041752512	0.328	0.308	1
Stat2	0.000768989	0.085191941	0.181	0.129	1
Abhd17b	0.000771621	0.057213917	0.229	0.196	1
0610030E20Rik	0.000775639	0.043489543	0.304	0.273	1
Usp1	0.000805198	-0.055179185	0.349	0.381	1
Mettl23	0.000812967	-0.049929362	0.407	0.433	1
Nufip2	0.00082977	-0.050206111	0.407	0.437	1
Rab11fip2	0.000829914	0.054098502	0.243	0.206	1
Romo1	0.000838417	0.034403341	0.532	0.512	1
Pim2	0.000852955	0.082048987	0.175	0.144	1
Atp13a3	0.000855789	-0.069267827	0.199	0.241	1
Dnmt3a	0.000867035	0.068726288	0.202	0.171	1
Dcun1d1	0.000882	0.046011052	0.274	0.258	1
Dnajb1	0.000892124	0.078260084	0.188	0.138	1
Sike1	0.000897737	0.069994974	0.204	0.154	1
9430038I01Rik	0.000903124	-0.09967112	0.122	0.191	1
Rrbp1	0.000904909	0.036978183	0.474	0.468	1
Aph1a	0.000909437	0.057609936	0.226	0.19	1
Hbp1	0.000910179	0.090642074	0.174	0.115	1
Chordc1	0.0009119	0.041245598	0.326	0.305	1
Mapkap1	0.000923951	0.057221135	0.226	0.199	1
Fam172a	0.000926547	0.04997907	0.252	0.221	1
Fam208a	0.000928506	0.039547842	0.525	0.511	1
9130401M01Rik	0.000932826	-0.090870376	0.138	0.2	1
Zc3h14	0.000933819	0.04930561	0.254	0.223	1
Rasgrp2	0.000944898	0.057241394	0.242	0.211	1
Zbtb37	0.000945695	0.073869994	0.193	0.149	1
Snap23	0.000948933	0.098041077	0.165	0.105	1
A530032D15Rik	0.000951107	0.098968303	0.161	0.108	1
Vps13d	0.000955348	0.053452713	0.242	0.207	1
Tmem160	0.000964145	0.037402731	0.407	0.386	1
Ascc3	0.000968927	-0.054497809	0.339	0.374	1
Rpp21	0.000973694	0.041938775	0.304	0.273	1
Rad17	0.000984189	0.049509867	0.258	0.227	1
Parp14	0.000989141	0.049164964	0.295	0.26	1
Ankrd11	0.00099928	-0.06884039	0.74	0.761	1
Mnt	0.001008668	-0.118139222	0.092	0.171	1
Pbdc1	0.001008918	-0.062609189	0.226	0.271	1
Trappc6b	0.001009571	0.051601052	0.242	0.21	1
Tlk2	0.001016884	0.049736497	0.252	0.216	1
Vav2	0.001022043	0.061771104	0.216	0.173	1
Qtrt2	0.001024764	-0.129926393	0.079	0.16	1
Urb1	0.001024879	-0.091352964	0.135	0.197	1
Maz	0.001036021	-0.059206476	0.239	0.278	1
Fam43a	0.001047074	0.107319205	0.151	0.096	1
Ctdsp1	0.001048203	0.052582713	0.236	0.203	1
Exosc8	0.001048684	-0.063208014	0.223	0.26	1
Tm9sf4	0.001049762	-0.059616154	0.237	0.276	1
Senp6	0.001054195	-0.058899613	0.594	0.621	1
Tbc1d15	0.001062086	-0.083700477	0.153	0.211	1
Man2b1	0.001064245	0.049994823	0.252	0.219	1
Ddx56	0.001064946	-0.090041742	0.137	0.201	1
1110008F13Rik	0.001080911	-0.052964473	0.289	0.33	1
Sdhb	0.001088874	0.037954629	0.35	0.324	1
Kdm5d	0.001090183	0.063630004	0.209	0.169	1
Map2k2	0.001099583	0.037251649	0.445	0.428	1
Sav1	0.001103022	0.061186553	0.214	0.179	1
Leng8	0.001106267	0.041800411	0.303	0.275	1
Psmd10	0.001123779	0.074548856	0.193	0.142	1
Dnajc14	0.001124263	0.087502519	0.176	0.117	1
Vps72	0.00112962	0.061587357	0.214	0.171	1
Parp11	0.001143824	0.074038678	0.19	0.144	1
Phc3	0.001159201	0.047955207	0.255	0.226	1
Foxj2	0.001191332	0.090163844	0.171	0.113	1
Iws1	0.001191759	0.037542645	0.443	0.43	1
Csnk2a2	0.001209126	-0.052506433	0.388	0.418	1
B3galnt2	0.001212999	-0.076483997	0.168	0.219	1
Wdr89	0.001219737	-0.071617329	0.184	0.23	1
Trim8	0.001248018	0.079375084	0.181	0.133	1
Nsun5	0.001250804	-0.110934683	0.1	0.175	1
Tm9sf2	0.001258742	0.039608301	0.321	0.301	1
Ankra2	0.00125903	0.066705781	0.203	0.159	1
Hdac7	0.001274339	0.080745342	0.179	0.133	1
Nkap	0.001275471	0.067910167	0.2	0.156	1
Ogt	0.001282221	0.035036571	0.565	0.548	1
Pdia4	0.001284673	0.045385053	0.282	0.272	1
Dusp16	0.001291922	0.104660019	0.155	0.094	1
Cep295	0.001301507	-0.054656038	0.291	0.311	1
Ddx49	0.001312901	-0.075841799	0.168	0.22	1
Smim19	0.001348717	0.092241189	0.167	0.108	1
Grcc10	0.001357527	0.103836825	0.161	0.09	1
Txnrd3	0.001357776	-0.146614674	0.054	0.151	1
Gfer	0.0013633	-0.085145499	0.148	0.203	1
Lbr	0.00137246	0.03930003	0.36	0.339	1
Lamtor5	0.001374831	0.03914157	0.31	0.28	1
Sh3bgrl	0.001389089	0.082717705	0.176	0.128	1
Pgd	0.001406229	-0.059577991	0.23	0.267	1
Rnh1	0.001409424	0.062367624	0.209	0.168	1
Gga2	0.001411005	0.048226041	0.263	0.243	1
Ccdc115	0.001414805	-0.109254496	0.1	0.175	1
Trim30a	0.001419981	0.054113789	0.249	0.209	1
Acap2	0.001424715	0.078819719	0.182	0.131	1
Rsbn1	0.001426147	0.038924524	0.315	0.295	1
Rnpepl1	0.001432286	0.051042139	0.237	0.206	1
Chm	0.001441877	0.091617128	0.166	0.11	1
Hpf1	0.001483551	0.041283486	0.287	0.262	1
Dctn2	0.001501734	0.052549088	0.231	0.198	1
Gna13	0.001502951	0.041777484	0.301	0.278	1
Pnn	0.001504445	-0.061979723	0.659	0.679	1
Glmp	0.001526866	0.106590291	0.157	0.085	1
Mindy2	0.001537506	0.093327311	0.164	0.107	1
Rnf126	0.001557276	-0.093319717	0.126	0.191	1
Arel1	0.00157239	0.073705918	0.187	0.141	1
Tmem131	0.00157345	0.056570437	0.219	0.184	1
Cmss1	0.001581578	-0.115434996	0.091	0.167	1
Pced1b	0.001586493	0.10986268	0.152	0.084	1
Rpl35a	0.001587534	-0.043793162	1	1	1
Nup205	0.00158834	-0.082703296	0.151	0.202	1
Rbm22	0.001605279	0.039697602	0.303	0.276	1
Phf8	0.001614731	0.075150018	0.184	0.138	1
Madd	0.001630007	0.062218131	0.207	0.168	1
Rbm7	0.001635159	0.042836763	0.275	0.25	1
H2afz	0.001641919	0.032146573	0.742	0.736	1
Helz	0.001643041	0.0706648	0.192	0.15	1
Nr2c2	0.001646406	0.047682085	0.255	0.224	1
Tbc1d23	0.001647716	0.091500652	0.165	0.11	1
Phlpp1	0.001657562	0.083379383	0.174	0.125	1
Coro1b	0.001663385	0.107920137	0.155	0.083	1
Papd5	0.001676569	-0.078336204	0.158	0.211	1
Tigd2	0.001678694	0.049509164	0.244	0.217	1
Txndc11	0.001686304	0.065693179	0.2	0.16	1
Slc16a1	0.001697827	-0.14706568	0.053	0.147	1
Dgcr8	0.001737549	-0.068276939	0.187	0.232	1
Cspp1	0.001744518	0.039165798	0.418	0.401	1
Atg16l2	0.00180527	0.07911944	0.177	0.129	1
Sharpin	0.001810537	0.0566808	0.217	0.178	1
Ube2s	0.00183274	0.031641447	0.518	0.493	1
Trim5	0.001840633	0.070689965	0.188	0.151	1
Cdc34	0.001853183	-0.054935214	0.259	0.289	1
Ewsr1	0.001856305	-0.054802372	0.616	0.621	1
Cse1l	0.00186769	-0.05194676	0.287	0.317	1
Pogk	0.001882126	-0.129415726	0.072	0.154	1
Ccdc88c	0.001885184	0.038153698	0.441	0.421	1
Lrrc8d	0.001941465	0.069711401	0.189	0.15	1
Klf6	0.001945518	0.104054887	0.147	0.093	1
Arnt	0.001956625	0.073610002	0.183	0.139	1
Raf1	0.001956676	0.056561957	0.215	0.18	1
Carm1	0.001967389	-0.099719109	0.114	0.18	1
Znrf2	0.001985268	-0.073859693	0.17	0.218	1
Rev1	0.001991956	-0.081744187	0.151	0.203	1
Yeats4	0.001994623	0.035987813	0.372	0.351	1
Chuk	0.001995551	0.056679887	0.216	0.18	1
Mtx2	0.001996253	-0.086055759	0.141	0.197	1
Mrpl43	0.001997847	-0.046637165	0.386	0.408	1
Pdcd5	0.002011932	-0.0534548	0.526	0.546	1
Ormdl2	0.002058593	0.051768326	0.226	0.196	1
Myo5a	0.002063398	-0.081601773	0.149	0.204	1
Fam103a1	0.002063566	0.061375848	0.206	0.162	1
Polg	0.002070799	0.04917714	0.235	0.203	1
Rap1a	0.002074605	0.035751173	0.348	0.329	1
Top2b	0.002091387	0.039462027	0.48	0.466	1
Pole3	0.002101181	-0.067347024	0.192	0.232	1
Slc9a3r1	0.00211002	0.090683227	0.162	0.109	1
Clk2	0.002111686	0.065423265	0.197	0.156	1
Ncbp1	0.002120194	-0.067880186	0.187	0.23	1
Fam193b	0.002123486	0.063625752	0.199	0.16	1
Clcn3	0.002123506	-0.052840289	0.284	0.319	1
Mplkip	0.002142717	0.03652995	0.352	0.335	1
Sun2	0.002150474	0.04460218	0.255	0.229	1
Ikbke	0.002155214	0.116701783	0.138	0.078	1
Acaca	0.002181031	-0.093119302	0.126	0.184	1
Brd7	0.002183458	0.032367329	0.507	0.488	1
Aco2	0.002226071	0.036662191	0.331	0.308	1
Gclc	0.002241791	-0.057727058	0.274	0.32	1
Cox7b	0.002271887	-0.054287279	0.605	0.627	1
Ireb2	0.002286703	0.040738311	0.28	0.251	1
Cdc37l1	0.002319829	0.034050066	0.453	0.442	1
Ptger4	0.002320267	0.087120196	0.16	0.119	1
Dnajb2	0.002325858	0.091856335	0.164	0.101	1
Gtf2b	0.002341435	0.05949853	0.209	0.166	1
Parl	0.002343507	-0.058313173	0.229	0.264	1
Qdpr	0.002348515	-0.096012985	0.117	0.181	1
Akt1	0.00235898	-0.068350947	0.184	0.23	1
Tmem259	0.002410673	-0.050605066	0.284	0.316	1
Nipa2	0.002438603	0.038311695	0.309	0.284	1
Sh2b1	0.002439822	0.065612367	0.192	0.153	1
2010107E04Rik	0.002441633	0.029966653	0.689	0.679	1
Zc3h18	0.002446189	-0.049434607	0.397	0.426	1
Hnrnpm	0.002460776	0.028250563	0.688	0.689	1
Scfd1	0.00246816	0.038600868	0.298	0.272	1
E4f1	0.002475824	0.066781685	0.192	0.15	1
Lig3	0.002499312	-0.082289346	0.145	0.198	1
Nvl	0.00251235	-0.051596376	0.275	0.305	1
Orc2	0.002528177	-0.0660831	0.193	0.232	1
Ythdf1	0.002544853	-0.052696466	0.261	0.289	1
Dpm3	0.002548468	0.035145703	0.336	0.315	1
Itgb1	0.002553818	-0.105751182	0.103	0.168	1
Pdrg1	0.002559659	-0.071686592	0.172	0.216	1
Kpna3	0.002565084	-0.063216866	0.2	0.24	1
Pop5	0.002580266	-0.056187066	0.235	0.279	1
Smc3	0.002604565	0.03668608	0.436	0.416	1
Zfyve26	0.002606152	0.059474633	0.203	0.17	1
Vps35	0.002613429	0.039212375	0.285	0.26	1
Ncln	0.00268541	-0.106650311	0.099	0.168	1
Rbck1	0.002700551	-0.050556757	0.275	0.307	1
Cib1	0.002707865	0.068969192	0.188	0.141	1
Mdm2	0.00271537	0.065467951	0.193	0.149	1
Slc25a36	0.00272829	0.054498891	0.216	0.184	1
Suclg1	0.002736546	-0.047745714	0.316	0.337	1
Runx1	0.002752837	0.084021455	0.165	0.116	1
Sumo2	0.002777451	0.013040749	0.901	0.902	1
Fxr1	0.002779184	0.033947804	0.393	0.366	1
Mgat2	0.002803291	-0.062457352	0.203	0.244	1
Atxn7	0.002873608	0.063568595	0.196	0.158	1
Suz12	0.002926222	0.031591175	0.488	0.467	1
Samd4b	0.002940465	0.068493245	0.186	0.142	1
1810032O08Rik	0.002942565	-0.117376165	0.08	0.161	1
1700123O20Rik	0.002943516	0.064909539	0.195	0.148	1
Cyb5r4	0.00294963	0.055364294	0.211	0.177	1
Atpif1	0.002965374	0.047586496	0.259	0.219	1
Tmed5	0.002981463	0.028359605	0.618	0.621	1
Fmr1	0.002988962	0.04892158	0.233	0.208	1
Washc2	0.002995265	0.037465833	0.302	0.289	1
Gm26853	0.00300868	-0.069038171	0.175	0.223	1
Fopnl	0.003022737	0.072066876	0.182	0.133	1
Tlk1	0.003026176	0.038797208	0.298	0.269	1
Mrpl3	0.003030824	-0.063538278	0.197	0.237	1
Ggnbp2	0.003031213	0.03244184	0.479	0.459	1
Lfng	0.003041594	0.061157158	0.196	0.163	1
Dennd6a	0.003059833	0.061916873	0.195	0.16	1
Psmd13	0.003066133	0.033570003	0.344	0.325	1
Plekhm1	0.003091451	0.073682892	0.177	0.133	1
Abcf3	0.003108586	0.06209617	0.196	0.155	1
Kif21b	0.003119268	0.078600091	0.169	0.124	1
Nup88	0.003122101	0.048509552	0.23	0.201	1
Nfu1	0.003137382	0.046840578	0.236	0.208	1
Dennd1c	0.003138182	0.101645949	0.151	0.085	1
Kat7	0.003150246	0.050310765	0.226	0.189	1
Brms1	0.003160609	0.071468063	0.183	0.135	1
Ppm1b	0.003201984	0.065437827	0.189	0.15	1
4833407H14Rik	0.003249111	0.110906914	0.141	0.075	1
Pkm	0.003277573	-0.050387606	0.48	0.496	1
Aip	0.003302445	0.052174148	0.218	0.183	1
Ccm2	0.003323333	0.039468854	0.267	0.245	1
Zeb1	0.003333974	0.038287757	0.307	0.287	1
Ilk	0.003344892	0.065854576	0.19	0.145	1
Tap2	0.003370281	0.053335266	0.213	0.178	1
Cxxc1	0.003379337	0.058706971	0.2	0.165	1
Hmgxb4	0.003381573	0.05819046	0.201	0.17	1
Cbl	0.003393295	0.035877052	0.364	0.347	1
Aak1	0.003407185	0.062058955	0.196	0.155	1
Kdelr2	0.003420779	-0.057308515	0.218	0.252	1
Gxylt1	0.003436652	0.079360405	0.168	0.121	1
Ten1	0.003438885	0.056335117	0.207	0.174	1
Smc1a	0.003444663	-0.051305081	0.468	0.49	1
Eci1	0.003445072	-0.083232169	0.137	0.194	1
Prps1	0.003465489	-0.089840315	0.126	0.181	1
Plpbp	0.003515908	0.069630548	0.182	0.136	1
Gmps	0.003519306	-0.053134921	0.244	0.275	1
Pfas	0.003563727	-0.114654002	0.083	0.159	1
Riox1	0.003580212	-0.103726821	0.098	0.169	1
1810022K09Rik	0.003583612	-0.047760392	0.498	0.515	1
Atp6v0d1	0.003597146	0.086341027	0.162	0.107	1
Arl8b	0.003599467	0.04803408	0.23	0.2	1
Crebzf	0.003637486	-0.051056069	0.261	0.296	1
Rwdd4a	0.003641902	-0.064454513	0.189	0.231	1
Dnajc8	0.003680479	0.027746622	0.658	0.636	1
Med19	0.003692435	0.046412498	0.235	0.202	1
Ncbp3	0.003723346	0.041362422	0.258	0.237	1
Rps16	0.003761115	-0.038685379	1	1	1
Pin4	0.003793269	0.034563741	0.312	0.293	1
Ski	0.003795916	0.072269395	0.177	0.131	1
Atp6v0b	0.003797522	0.03141103	0.525	0.514	1
Stxbp3	0.00383476	0.074845599	0.173	0.125	1
Setd1b	0.003837658	0.039389558	0.281	0.258	1
Lrrk2	0.003894332	0.080296299	0.165	0.119	1
Dnase2a	0.003903755	0.064756024	0.188	0.148	1
Rab10	0.00390744	0.028979989	0.511	0.496	1
Add3	0.003908214	0.058584212	0.202	0.167	1
Slc9a7	0.003925936	0.075872435	0.17	0.125	1
Ccdc9	0.003931901	-0.058624892	0.211	0.249	1
Psme2b	0.003935613	0.102719535	0.144	0.084	1
Ppip5k2	0.004045028	-0.087658387	0.126	0.184	1
Slc7a6	0.004079599	-0.115520051	0.08	0.157	1
Oxa1l	0.004117558	0.049319027	0.22	0.193	1
Brap	0.004122351	0.058036262	0.201	0.163	1
Peak1	0.004194863	0.05704628	0.202	0.174	1
Ddx47	0.004253926	0.043744677	0.239	0.219	1
Smarcb1	0.004297233	0.035697211	0.307	0.282	1
Ube2j1	0.004303011	0.058546722	0.197	0.16	1
Tecpr1	0.004303677	0.08862562	0.158	0.099	1
Gpn1	0.004373195	-0.069997779	0.168	0.211	1
Rabl6	0.004392139	-0.067345462	0.177	0.218	1
Psmb10	0.004460165	0.040319502	0.253	0.228	1
9930021J03Rik	0.004524534	0.051973533	0.215	0.186	1
Lars2	0.004604123	0.029119538	0.7	0.687	1
Zfp68	0.004631929	0.071451688	0.175	0.13	1
Gatad1	0.004654876	0.05338737	0.207	0.176	1
Bub3	0.004686842	0.03133818	0.368	0.345	1
Adipor1	0.004708393	0.04438444	0.237	0.209	1
Ube2e3	0.004714938	0.060326233	0.192	0.158	1
Tulp4	0.004759225	0.073275146	0.171	0.13	1
Mrpl33	0.004766682	0.033029324	0.339	0.323	1
Nfkbib	0.004810355	0.037016403	0.283	0.259	1
Nek7	0.004811518	0.076852324	0.167	0.121	1
Gt(ROSA)26Sor	0.004820172	-0.104023094	0.094	0.164	1
Acbd3	0.004909158	0.032469946	0.342	0.32	1
Timm44	0.004970294	-0.04865971	0.277	0.307	1
Chp1	0.00497356	0.076259037	0.168	0.119	1
Txndc16	0.005025153	0.083885826	0.156	0.11	1
Pmepa1	0.005045738	0.072540951	0.168	0.134	1
Sigmar1	0.005156501	-0.114434182	0.079	0.155	1
Suclg2	0.0052675	-0.097774738	0.103	0.168	1
Skp1a	0.005273954	-0.04359865	0.357	0.381	1
Cmtm6	0.005282609	0.051959254	0.21	0.173	1
Nudcd1	0.005298051	-0.086812025	0.122	0.182	1
Rcc1	0.005311389	-0.126675267	0.063	0.146	1
Spata13	0.005322577	0.075622206	0.168	0.119	1
Ufd1	0.005339193	0.058428321	0.195	0.155	1
Zbtb44	0.005354848	-0.066539347	0.172	0.22	1
Hipk3	0.005387457	0.063673918	0.186	0.144	1
Wdr20	0.005408401	0.063593456	0.187	0.143	1
Gbf1	0.0054214	0.068412075	0.178	0.134	1
Kdm5c	0.005454175	0.047412909	0.22	0.192	1
Commd6	0.00547782	0.047518453	0.219	0.196	1
Dcaf15	0.005517047	0.077786227	0.167	0.112	1
Tfeb	0.005534601	0.080605766	0.16	0.11	1
Cd2bp2	0.005551656	0.044241969	0.232	0.202	1
Hsf1	0.005570782	-0.054347779	0.221	0.262	1
Camkk2	0.005573514	-0.101707018	0.096	0.163	1
Yipf1	0.005582278	0.072036137	0.172	0.124	1
Lrch3	0.005615282	0.078529782	0.162	0.114	1
Rbm34	0.005715759	-0.048568115	0.283	0.316	1
Gucd1	0.005730401	0.092026737	0.15	0.091	1
Washc1	0.005781991	0.081947387	0.156	0.111	1
Cd200	0.005792328	0.125366304	0.123	0.057	1
Slc4a2	0.005802739	0.070655047	0.173	0.129	1
Phactr4	0.005850026	0.07594626	0.167	0.118	1
Lrrc59	0.005861277	-0.055394291	0.219	0.254	1
Pus3	0.005873198	-0.08239924	0.131	0.185	1
Pop1	0.005879856	-0.116967479	0.075	0.148	1
Birc6	0.005887309	0.028331167	0.588	0.578	1
Rplp2	0.005912019	0.003892349	1	0.999	1
Slain2	0.005914209	0.050135966	0.211	0.179	1
Tufm	0.005987734	-0.053569783	0.226	0.261	1
Ccdc25	0.005992464	0.045024105	0.228	0.203	1
Kdm6a	0.005995853	0.065368644	0.181	0.139	1
1110038F14Rik	0.006000375	0.036125751	0.282	0.262	1
Ube2m	0.006010441	0.029742894	0.396	0.376	1
Phf20	0.006033045	-0.059103872	0.198	0.242	1
Lamp1	0.006036339	0.033853761	0.309	0.293	1
Exosc10	0.006058159	-0.050750111	0.241	0.272	1
Tsc22d3	0.006070721	0.079074639	0.156	0.115	1
Pcnx3	0.006138674	0.055778207	0.196	0.161	1
Ube3c	0.006148001	-0.052464056	0.233	0.265	1
Shkbp1	0.006182203	0.077770223	0.164	0.112	1
Arfgef1	0.006188045	0.029252786	0.549	0.538	1
Csk	0.006204901	0.032925577	0.451	0.431	1
Rnf13	0.006270595	0.079229644	0.16	0.11	1
Zbtb46	0.006307395	0.08731863	0.15	0.1	1
Fbxo38	0.006369214	0.062725372	0.184	0.143	1
A530040E14Rik	0.006414293	0.085024313	0.153	0.103	1
Rpl38	0.006444796	0.010336806	1	1	1
Ddost	0.006448943	-0.045915835	0.278	0.308	1
Ssr1	0.006506063	0.030711794	0.348	0.326	1
Qtrt1	0.006590977	-0.11983703	0.066	0.149	1
Mapk1ip1l	0.006616767	0.039125413	0.249	0.231	1
Cox14	0.00665296	0.031441146	0.32	0.296	1
Gmfb	0.006732009	-0.05190625	0.23	0.262	1
Taf6	0.006835075	0.051535731	0.202	0.174	1
Atmin	0.006836131	0.074784758	0.163	0.121	1
Med1	0.00683762	-0.043109439	0.396	0.423	1
Rrad	0.0068527	0.097812788	0.142	0.081	1
Traf3	0.006913015	0.043246634	0.228	0.204	1
Rnase6	0.006925647	0.090239263	0.149	0.09	1
Asxl1	0.007015916	-0.073109621	0.15	0.198	1
Gtf3c2	0.007072269	0.030422495	0.381	0.367	1
Dnajc15	0.007092617	-0.059844206	0.19	0.233	1
Ino80b	0.007201107	0.055093871	0.194	0.161	1
Sae1	0.007214683	-0.069092495	0.16	0.205	1
Rraga	0.007262107	0.053962274	0.2	0.164	1
Gigyf2	0.007299263	0.028616747	0.441	0.431	1
Rab18	0.007313012	0.041186475	0.237	0.209	1
N4bp2l2	0.007465722	0.02689934	0.619	0.609	1
Uimc1	0.007466706	0.041119021	0.239	0.212	1
Sec16a	0.007498139	0.040543658	0.238	0.212	1
Txnl1	0.007536143	-0.042348761	0.384	0.399	1
Dguok	0.0075437	0.046115572	0.217	0.191	1
Tmpo	0.007586042	-0.042805616	0.36	0.38	1
Cebpg	0.007656196	0.033705014	0.306	0.284	1
Dhx30	0.007662242	-0.043558677	0.313	0.339	1
Vrk1	0.007711617	0.050881004	0.204	0.173	1
Nktr	0.007745303	0.027120945	0.625	0.629	1
Cnih4	0.007830673	0.050780341	0.204	0.174	1
Tomm22	0.007858737	0.026677071	0.543	0.538	1
Parg	0.007944825	0.035076327	0.275	0.246	1
Rbm26	0.007950313	-0.046478157	0.558	0.578	1
Cope	0.008002364	0.029708678	0.339	0.316	1
Ppp4r3a	0.008014517	0.02964945	0.469	0.449	1
Csnk1d	0.008030316	0.032862511	0.313	0.294	1
Psat1	0.008058757	-0.150374172	0.039	0.123	1
Ddx24	0.008138916	-0.051591652	0.716	0.724	1
Tprgl	0.008176387	0.032822529	0.294	0.275	1
Zfp148	0.008219123	0.029885568	0.369	0.351	1
Lonp2	0.008226668	0.068332745	0.171	0.126	1
Ttc1	0.008265782	0.049767942	0.208	0.175	1
Commd8	0.008333558	0.065235004	0.174	0.134	1
Ndufs7	0.008350387	-0.041465297	0.353	0.367	1
Sdf2l1	0.008687535	0.076151323	0.147	0.123	1
D16Ertd472e	0.008688677	-0.079733526	0.132	0.185	1
Dpm2	0.008693799	0.045010875	0.216	0.188	1
Ndufs6	0.008823124	-0.041227786	0.473	0.493	1
Bcl7c	0.008889119	-0.041858732	0.476	0.498	1
Gpi1	0.008943774	-0.041362503	0.373	0.394	1
Tubgcp4	0.00895547	0.03914571	0.241	0.218	1
Cenpc1	0.008966947	0.059376159	0.185	0.147	1
Ung	0.009036263	-0.133473718	0.051	0.134	1
Hspbp1	0.009062143	-0.075935091	0.139	0.188	1
Ppp3cc	0.009260109	0.062216181	0.176	0.139	1
Mrpl16	0.009262592	-0.065878007	0.164	0.21	1
Zfp507	0.009287065	-0.056873079	0.192	0.234	1
Fundc2	0.009394697	-0.051525043	0.228	0.255	1
Ndufb10	0.009399436	0.027871825	0.401	0.383	1
Lmo4	0.009472586	0.043498309	0.223	0.229	1
Gm8186	0.009522891	0.041538675	0.229	0.199	1
Rbm19	0.009795403	-0.07574346	0.137	0.187	1
Zbtb4	0.009797765	0.094064609	0.141	0.08	1
Aebp2	0.009816404	-0.045278958	0.451	0.481	1
Sdf2	0.009864994	0.072161034	0.161	0.117	1
Ctu2	0.009912431	-0.068825847	0.154	0.199	1
Xrcc6	0.009924963	-0.10674681	0.082	0.15	1
Jagn1	0.010022987	-0.061259121	0.177	0.217	1
Actl6a	0.0100623	-0.041357753	0.358	0.385	1
Rps23	0.010178885	0.00012665	0.999	1	1
Mdp1	0.010183383	0.070972838	0.164	0.117	1
Atp5d	0.010274426	0.023232006	0.671	0.662	1
Ak6	0.010334006	-0.070121621	0.15	0.199	1
Atp9b	0.010347601	0.050127706	0.2	0.165	1
Fpgs	0.010391381	-0.093822001	0.098	0.164	1
Zfp277	0.010394923	0.049128681	0.201	0.175	1
Ganab	0.01041978	0.035749732	0.253	0.227	1
Arpc1a	0.010470606	0.044707309	0.214	0.187	1
Csrnp1	0.010526811	0.085091242	0.144	0.095	1
Rbbp8	0.010556482	0.053371231	0.188	0.164	1
Max	0.010583918	-0.064723249	0.163	0.211	1
Retreg3	0.01064175	0.05713566	0.184	0.149	1
Mrfap1	0.010695632	-0.042173065	0.478	0.503	1
Mrpl57	0.010760326	-0.047439467	0.251	0.282	1
Ppp1cb	0.010780569	0.027767042	0.405	0.393	1
Hmgn3	0.010803175	0.093360595	0.132	0.087	1
Anp32e	0.010839766	0.024173425	0.558	0.549	1
Eif4g2	0.010847803	0.015628412	0.843	0.835	1
Ppig	0.010877483	0.018918598	0.695	0.69	1
Wdr37	0.010938055	0.056172992	0.186	0.151	1
Kmt2c	0.010994979	0.032283407	0.328	0.318	1
Dcp2	0.011023028	0.046933314	0.21	0.177	1
Rnf2	0.011168071	0.05013468	0.199	0.168	1
Capn15	0.011190333	-0.063778014	0.168	0.21	1
Usp38	0.011212733	0.051252922	0.194	0.166	1
Zfp260	0.011280708	0.069444785	0.164	0.119	1
Senp2	0.011299065	0.028826423	0.378	0.358	1
Psmb2	0.011378673	-0.040096668	0.462	0.482	1
Ttc14	0.011400499	0.024113421	0.742	0.738	1
Taf12	0.011508571	0.048689913	0.202	0.17	1
Zfp639	0.011552393	-0.058907633	0.183	0.222	1
Elp5	0.011601198	0.033656076	0.273	0.249	1
Foxn2	0.011755377	-0.090647904	0.105	0.162	1
Ing2	0.01176083	0.063921201	0.169	0.133	1
Pcnt	0.0118407	0.057977738	0.182	0.144	1
Dcaf17	0.011857047	0.044028947	0.22	0.19	1
Smarca2	0.011866559	0.056882199	0.184	0.148	1
Trpm7	0.011894737	0.035989043	0.26	0.239	1
Cenpx	0.011994836	-0.058260931	0.184	0.224	1
Noc4l	0.011995692	-0.08419189	0.116	0.171	1
Rmi1	0.012032065	0.059460749	0.176	0.139	1
